date,temperature,precipitation,pet,flow_observed,snowprecip,snowmelt,snowpack,snow_water_equivalence,precip_minus_pet,flow_predicted,saturation_deficit_avgs
1980-01-22,-1.90,2.50,0.39,1.18,0.05,0.00,24.49,2.45,-0.34,0.07,4.86
1980-01-23,-0.30,0.00,0.44,1.02,0.05,0.00,23.98,2.40,-0.39,0.06,14.35
1980-01-24,-1.10,0.00,0.42,0.66,0.05,0.00,23.48,2.35,-0.37,0.05,22.99
1980-01-25,-6.10,0.00,0.31,0.50,0.05,0.00,22.97,2.30,-0.26,0.05,30.91
1980-01-26,-4.70,0.00,0.34,0.46,0.05,0.00,22.46,2.25,-0.29,0.04,38.22
1980-01-27,-4.40,0.00,0.35,0.40,0.05,0.00,21.95,2.20,-0.30,0.04,45.02
1980-01-28,-3.30,0.00,0.37,0.39,0.05,0.00,21.44,2.14,-0.32,0.04,51.36
1980-01-29,-3.10,0.00,0.38,0.33,0.05,0.00,20.94,2.09,-0.33,0.04,57.32
1980-01-30,-4.20,0.00,0.36,0.28,0.05,0.00,20.43,2.04,-0.31,0.03,62.92
1980-01-31,-5.60,0.00,0.33,0.24,0.05,0.00,19.92,1.99,-0.28,0.03,68.21
1980-02-01,-7.20,0.00,0.30,0.19,0.05,0.00,19.41,1.94,-0.25,0.03,73.23
1980-02-02,-9.40,0.00,0.27,0.20,0.05,0.00,18.90,1.89,-0.22,0.03,78.00
1980-02-03,-9.40,0.00,0.27,0.21,0.05,0.00,18.40,1.84,-0.22,0.03,82.54
1980-02-04,-7.20,0.00,0.31,0.24,0.05,0.00,17.89,1.79,-0.26,0.03,86.88
1980-02-05,-6.40,0.00,0.33,0.27,0.05,0.00,17.38,1.74,-0.28,0.02,91.03
1980-02-06,-5.60,0.00,0.34,0.28,0.05,0.00,16.87,1.69,-0.29,0.02,95.00
1980-02-07,-6.70,0.00,0.33,0.24,0.05,0.00,16.36,1.64,-0.28,0.02,98.82
1980-02-08,-2.20,0.00,0.43,0.25,0.05,0.00,15.86,1.59,-0.38,0.02,102.49
1980-02-09,-1.90,0.00,0.44,0.31,0.05,0.00,15.35,1.53,-0.39,0.02,106.03
1980-02-10,-3.60,0.00,0.40,0.32,0.05,0.00,14.84,1.48,-0.35,0.02,109.44
1980-02-11,-4.40,0.00,0.39,0.28,0.05,0.00,14.33,1.43,-0.34,0.02,112.73
1980-02-12,-3.10,2.50,0.42,0.27,0.05,0.00,38.82,3.88,-0.37,0.02,115.92
1980-02-13,-4.20,0.00,0.40,0.24,0.05,0.00,38.32,3.83,-0.35,0.02,119.00
1980-02-14,-3.60,0.00,0.41,0.29,0.05,0.00,37.81,3.78,-0.36,0.02,121.99
1980-02-15,-1.10,0.00,0.49,1.10,0.05,0.00,37.30,3.73,-0.44,0.02,124.88
1980-02-16,0.30,12.70,0.54,1.26,12.98,2.33,34.46,3.45,12.44,6.73,107.99
1980-02-17,-4.40,0.00,0.41,0.64,0.05,2.33,33.95,3.40,-0.36,0.02,94.96
1980-02-18,-7.80,0.00,0.33,0.34,0.05,2.33,33.44,3.34,-0.28,0.02,98.77
1980-02-19,-5.30,0.00,0.39,0.79,0.05,2.33,32.94,3.29,-0.34,0.02,102.44
1980-02-20,0.00,0.00,0.54,1.02,0.05,0.00,32.43,3.24,-0.49,0.02,105.98
1980-02-21,1.10,0.00,0.59,0.87,0.35,3.02,28.90,2.89,-0.24,0.02,109.40
1980-02-22,5.80,10.20,0.79,1.97,12.41,21.64,6.76,0.68,11.62,6.76,94.57
1980-02-23,0.60,0.00,0.58,1.42,0.22,1.65,4.60,0.46,-0.36,0.03,84.15
1980-02-24,4.40,0.00,0.74,0.78,0.46,4.60,0.00,0.00,-0.28,0.03,88.41
1980-02-25,3.90,0.00,0.72,0.58,0.00,0.00,0.00,0.00,-0.72,0.02,92.49
1980-02-26,1.10,0.00,0.61,0.43,0.00,0.00,0.00,0.00,-0.61,0.02,96.41
1980-02-27,-5.60,0.00,0.41,0.34,0.00,0.00,0.00,0.00,-0.41,0.02,100.18
1980-02-28,-5.60,0.00,0.41,0.34,0.00,0.00,0.00,0.00,-0.41,0.02,103.80
1980-02-29,-3.60,0.00,0.47,0.28,0.00,0.00,0.00,0.00,-0.47,0.02,107.29
1980-03-01,-11.40,0.00,0.29,0.24,0.00,0.00,0.00,0.00,-0.29,0.02,110.65
1980-03-02,-9.40,0.00,0.33,0.24,0.00,0.00,0.00,0.00,-0.33,0.02,113.91
1980-03-03,-6.90,0.00,0.39,0.24,0.00,0.00,0.00,0.00,-0.39,0.02,117.05
1980-03-04,-3.60,0.00,0.48,0.01,0.00,0.00,0.00,0.00,-0.48,0.02,120.10
1980-03-05,1.10,2.50,0.65,0.28,2.50,0.00,0.00,0.00,1.85,7.09,120.52
1980-03-06,3.90,0.00,0.78,0.32,0.00,0.00,0.00,0.00,-0.78,0.02,120.53
1980-03-07,1.90,0.00,0.69,0.23,0.00,0.00,0.00,0.00,-0.69,0.02,123.47
1980-03-08,5.00,7.60,0.84,1.02,7.60,0.00,0.00,0.00,6.76,6.92,115.29
1980-03-09,9.70,0.00,1.14,1.73,0.00,0.00,0.00,0.00,-1.14,0.02,109.49
1980-03-10,3.30,17.80,0.77,3.31,17.80,0.00,0.00,0.00,17.03,6.58,87.48
1980-03-11,4.40,2.50,0.83,7.87,2.50,0.00,0.00,0.00,1.67,7.11,67.83
1980-03-12,-1.70,0.00,0.57,1.89,0.00,0.00,0.00,0.00,-0.57,0.03,70.76
1980-03-13,-2.20,0.00,0.56,1.10,0.00,0.00,0.00,0.00,-0.56,0.03,75.65
1980-03-14,-2.50,15.20,0.56,2.05,0.05,0.00,151.49,15.15,-0.51,0.03,80.30
1980-03-15,1.10,0.00,0.70,3.07,0.35,3.02,147.97,14.80,-0.35,0.03,84.73
1980-03-16,-0.80,0.00,0.63,4.88,0.05,3.02,147.46,14.75,-0.58,0.03,88.97
1980-03-17,1.70,7.60,0.74,10.23,8.37,7.18,139.77,13.98,7.63,6.90,82.43
1980-03-18,7.20,5.10,1.05,11.02,7.76,26.09,113.17,11.32,6.71,6.93,67.77
1980-03-19,2.50,0.00,0.79,2.52,0.74,6.86,105.80,10.58,-0.05,0.03,64.19
1980-03-20,4.40,0.00,0.89,1.57,1.26,12.07,93.22,9.32,0.37,7.16,68.88
1980-03-21,6.10,58.40,1.00,41.72,61.09,26.40,66.32,6.63,60.09,5.74,18.94
1980-03-22,6.70,2.50,1.05,10.23,4.97,24.15,41.66,4.17,3.92,7.30,1.48
1980-03-23,1.10,0.00,0.74,3.38,0.35,3.02,38.13,3.81,-0.39,0.06,8.08
1980-03-24,5.30,15.20,0.97,3.15,17.27,20.22,17.41,1.74,16.30,12.64,0.50
1980-03-25,6.10,7.60,1.03,16.53,9.34,17.41,0.00,0.00,8.31,14.82,0.00
1980-03-26,2.20,0.00,0.81,2.68,0.00,0.00,0.00,0.00,-0.81,0.67,4.25
1980-03-27,4.40,0.00,0.94,1.57,0.00,0.00,0.00,0.00,-0.94,0.06,13.77
1980-03-28,6.10,0.00,1.05,1.18,0.00,0.00,0.00,0.00,-1.05,0.05,22.45
1980-03-29,6.10,20.30,1.06,9.45,20.30,0.00,0.00,0.00,19.24,14.34,4.08
1980-03-30,8.10,0.00,1.21,4.80,0.00,0.00,0.00,0.00,-1.21,0.06,4.64
1980-03-31,7.20,38.10,1.15,20.47,38.10,0.00,0.00,0.00,36.95,16.32,0.00
1980-04-01,1.90,0.00,0.84,15.74,0.00,0.00,0.00,0.00,-0.84,0.06,4.64
1980-04-02,5.80,0.00,1.07,3.38,0.00,0.00,0.00,0.00,-1.07,0.06,14.15
1980-04-03,7.20,0.00,1.18,1.89,0.00,0.00,0.00,0.00,-1.18,0.05,22.80
1980-04-04,10.80,17.80,1.49,8.66,17.80,0.00,0.00,0.00,16.31,13.55,4.68
1980-04-05,11.70,0.00,1.58,2.76,0.00,0.00,0.00,0.00,-1.58,0.67,4.25
1980-04-06,7.50,0.00,1.23,1.42,0.00,0.00,0.00,0.00,-1.23,0.06,13.77
1980-04-07,10.30,0.00,1.47,1.02,0.00,0.00,0.00,0.00,-1.47,0.05,22.45
1980-04-08,12.80,0.00,1.73,0.87,0.00,0.00,0.00,0.00,-1.73,0.05,30.42
1980-04-09,14.20,50.80,1.90,24.40,50.80,0.00,0.00,0.00,48.90,15.76,3.21
1980-04-10,10.60,0.00,1.53,8.66,0.00,0.00,0.00,0.00,-1.53,0.67,4.25
1980-04-11,13.90,0.00,1.89,2.44,0.00,0.00,0.00,0.00,-1.89,0.06,13.77
1980-04-12,10.60,0.00,1.55,1.65,0.00,0.00,0.00,0.00,-1.55,0.05,22.45
1980-04-13,15.30,0.00,2.09,1.26,0.00,0.00,0.00,0.00,-2.09,0.05,30.42
1980-04-14,11.90,10.20,1.71,3.54,10.20,0.00,0.00,0.00,8.49,8.71,23.00
1980-04-15,11.70,2.50,1.70,4.09,2.50,0.00,0.00,0.00,0.80,14.51,0.00
1980-04-16,8.90,0.00,1.44,1.34,0.00,0.00,0.00,0.00,-1.44,0.06,4.64
